Store,elasticity,r2
2,-0.0878511079045618,0.6370285964782822
3,-0.0860553507403542,0.6867847913579632
11,-0.03676239887818529,0.5829086168303956
12,-0.061527178475869415,0.6460383496866371
13,-0.06813446322930583,0.6576778105571914
14,-0.06789431027652715,0.6778328642987745
15,-0.04576982685651633,0.5649842401507248
17,-0.11030294244376501,0.6980550083416651
18,-0.057050290019100024,0.6112389922632162
19,-0.06803316894498218,0.6385357157157405
20,-0.04695464342673195,0.6128416433186971
21,-0.06356474471514573,0.6408094329931886
22,-0.05879513046624383,0.6111818315220492
24,-0.053705447775601364,0.5776161413625862
27,-0.06706422807275451,0.6308041815556656
28,-0.08913701666428384,0.6144526784990194
30,-0.0476974020906734,0.5101286029161405
32,-0.0891411688750571,0.7175645894849563
35,-0.06707432442817256,0.63048010434373
36,-0.012785618245716904,0.42407954334676357
39,-0.09011808051452591,0.6488768495110917
40,-0.022582309499816725,0.37381057340624413
41,-0.02574952585830112,0.5513335220805764
42,-0.05153273008419046,0.6140135839220576
43,-0.0719718917237839,0.6418499751051735
46,-0.05680977511465629,0.614262126260793
47,-0.05198511378452471,0.6319374328642118
51,-0.023091815524317473,0.4341997811049585
52,-0.041123660762255855,0.5462540990921555
54,-0.02060182460340003,0.36404882170205544
56,-0.019864771140729237,0.5593223484918045
58,-0.047467846236739,0.5647858029680195
59,-0.0858307733561032,0.6597107163796296
61,-0.033633867631852665,0.5064343330856083
63,-0.03039545873160782,0.5465526627001344
64,-0.03916881546283192,0.5683982639770242
65,-0.07761509115272595,0.6089115097016324
66,-0.02518992134943779,0.4705950678219363
68,-0.0025116389586296688,0.4776013109150369
69,-0.04120149308663752,0.5369848960953767
71,-0.06640954778212854,0.6343278771900088
72,-0.11412787156707135,0.7239276344640537
77,-0.0388124812126375,0.5350222347223501
78,-0.062265203385931424,0.573859667961056
81,-0.004940134398397966,0.3625391356386932
82,-0.08257294343351872,0.685943356967745
86,-0.06559611283676405,0.590280447874235
89,-0.04783864417796144,0.6049363388454622
91,-0.045479455170498784,0.651482180397129
92,-0.054844286593784,0.5782912496620916
93,-0.0807287699834468,0.6603136017697256
96,-0.12599491108725247,0.7129363398534532
98,-0.0401111682890809,0.5809184497315473
99,-0.03246434626160184,0.5582645278245439
101,-0.033971467620839156,0.598437211775293
102,-0.0567552781733634,0.5621469663159463
105,-0.058787951404379105,0.7400683319101913
111,-0.04138689303937129,0.566993060097312
114,-0.03752531072194749,0.4964311161155458
115,-0.006763479092739444,0.42062611277205486
120,-0.05174458411439617,0.5645761250759417
121,-0.07483920771728211,0.6860534143866357
126,-0.05773365034461859,0.45903966520744455
127,-0.04823787693925902,0.5703286419053097
128,-0.03754405295064492,0.6260139852595888
129,-0.0427011815944017,0.5504087382608294
130,-0.03500858293873421,0.5500903568825746
132,-0.027949713802765598,0.6228235845879926
133,-0.08415369335192281,0.6666901138798031
135,-0.026383403111506748,0.5055362882204807
136,-0.05465302939306208,0.6382405106087534
137,-0.04121826459472923,0.46964631722578676
139,-0.0650472528652328,0.6662154599934058
140,-0.04201807699538784,0.5673658436735556
141,-0.05530996354098955,0.6123358154316212
145,-0.055050099692143833,0.6097902889264295
