regime,elasticity,r2,n_obs
volatile,-0.10142557328148441,0.6028733540845375,48722
decline,-0.06714567051008423,0.5364839492948366,104262
stable,-0.036730097278421595,0.4928943221685811,159803
growth,-0.041572677919569014,0.5330794706115245,104262
